U.S. Energy Information Administration,,,,,,
February 2020 Monthly Energy Review,,,,,,
,,,,,,
0,,,,,,
,,,,,,
"Release Date: February 25, 2020",,,,,,
"Next Update: March 26, 2020",,,,,,
,,,,,,
Table 9.8 Average Retail Prices of Electricity,,,,,,
,,,,,,
Month,"Average Retail Price of Electricity, Residential","Average Retail Price of Electricity, Commercial","Average Retail Price of Electricity, Industrial","Average Retail Price of Electricity, Transportation","Average Retail Price of Electricity, Other","Average Retail Price of Electricity, Total"
,"(Cents per Kilowatthour,  Including Taxes)","(Cents per Kilowatthour,  Including Taxes)","(Cents per Kilowatthour,  Including Taxes)","(Cents per Kilowatthour,  Including Taxes)","(Cents per Kilowatthour,  Including Taxes)","(Cents per Kilowatthour,  Including Taxes)"
01/01/1976,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
04/01/1986,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
05/01/1986,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
06/01/1986,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
07/01/1986,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
08/01/1986,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
09/01/1986,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
10/01/1986,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
11/01/1986,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
12/01/1986,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
01/01/1987,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
02/01/1987,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
03/01/1987,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
04/01/1987,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
05/01/1987,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
06/01/1987,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
07/01/1987,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
08/01/1987,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
09/01/1987,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
