U.S. Energy Information Administration,,,,,,,,,,,
February 2020 Monthly Energy Review,,,,,,,,,,,

0,,,,,,,,,,,

"Release Date: February 25, 2020",,,,,,,,,,,
"Next Update: March 26, 2020",,,,,,,,,,,

Table 2.1 Energy Consumption by Sector,,,,,,,,,,,

Month,Primary Energy Consumed by the Residential Sector,Total Energy Consumed by the Residential Sector,Primary Energy Consumed by the Commercial Sector,Total Energy Consumed by the Commercial Sector,Primary Energy Consumed by the Industrial Sector,Total Energy Consumed by the Industrial Sector,Primary Energy Consumed by the Transportation Sector,Total Energy Consumed by the Transportation Sector,Primary Energy Consumed by the Electric Power Sector,Energy Consumption Balancing Item,Primary Energy Consumption Total
,(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu)
1973 January,1339.27,1957.641,657.977,1080.68,2027.033,2673.882,1504.805,1507.977,1691.096,3.693,7223.873
1973 February,1174.899,1712.143,623.759,1003.913,1841.299,2432.592,1438.298,1441.064,1511.458,2.654,6592.366
1973 March,983.374,1510.079,492.136,886.42,1926.411,2561.729,1561.293,1564.146,1559.159,-0.934,6521.439
1973 April,715.391,1183.421,363.393,736.851,1914.017,2540.02,1480.403,1483.064,1470.152,-1.627,5941.729
1973 May,535.914,1006.326,288.63,695.636,2076.468,2747.831,1622.115,1624.965,1551.631,-2.817,6071.94
1973 June,366.934,914.949,226.461,686.037,1958.75,2657.89,1541.377,1544.398,1709.752,-0.592,5802.683
1973 July,306.868,961.872,196.228,692.651,2016.833,2708.501,1584.971,1588.208,1846.331,0.678,5951.909
1973 August,313.317,994.259,204.22,703.58,2135.416,2841.831,1646.908,1650.064,1889.873,1.923,6191.657
1973 September,342.204,937.083,208.169,648.966,2054.255,2680.553,1503.443,1506.312,1664.842,0.603,5773.515
1973 October,448.425,978.162,264.373,691.453,2245.484,2924.536,1577.704,1580.642,1638.807,0.068,6174.862
1973 November,711.988,1202.105,389.108,800.708,2267.315,2930.543,1581.538,1584.535,1567.941,1.142,6519.033
1973 December,987.464,1538.568,508.529,918.009,2224.341,2890.319,1534.434,1537.464,1629.591,2.544,6886.904
1974 January,1235.945,1846.93,631.87,1040.963,1933.969,2574.742,1438.094,1440.932,1663.689,0.476,6904.043
1974 February,1062.873,1589.448,536.911,910.884,1868.858,2472.797,1338.913,1341.4,1506.973,-0.228,6314.3
1974 March,912.136,1451.073,470.272,865.582,1919.32,2571.881,1480.536,1483.231,1589.502,-1,6370.767
1974 April,723.904,1215.228,373.79,754.543,1786.181,2424.483,1467.557,1470.131,1512.953,-3.319,5861.066
1974 May,500.171,1003.821,265.331,688.244,1913.278,2614.458,1557.263,1560.08,1630.562,-2.119,5864.485
1974 June,369.658,916.835,213.921,653.144,1867.318,2544.9,1525.901,1528.577,1666.66,-1.208,5642.248
1974 July,318.421,992.665,194.741,701.283,1982.717,2706.866,1579.05,1582.122,1908.007,2.418,5985.353
1974 August,297.214,966.36,196.811,686.852,2051.401,2755.266,1601.854,1604.792,1865.99,2.232,6015.502
1974 September,341.18,901.7,213.859,642.959,2074.652,2708.699,1456.481,1459.067,1626.253,-1.227,5711.198
1974 October,484.835,992.604,281.762,705.316,2221.308,2912.482,1569.737,1572.446,1625.206,-0.83,6182.018
1974 November,645.39,1148.216,353.427,774.045,2125.764,2799.503,1507.22,1510.084,1600.048,3.698,6235.546
1974 December,1016.87,1629.89,526.565,971.47,2016.982,2665.457,1564.631,1567.633,1709.402,8.209,6842.659
1975 January,1145.426,1778.493,546.765,992.183,2079.626,2739.496,1541.567,1544.596,1741.385,1.349,7056.118
1975 February,1090.754,1639.284,522.317,922.877,1644.884,2246.301,1358.921,1361.549,1553.135,-1.016,6168.996
1975 March,997.785,1559.255,467.955,895.091,1767.041,2413.811,1516.69,1519.554,1638.241,-4.231,6383.482
1975 April,865.717,1376.209,421.169,825.124,1466.501,2090.119,1508.513,1511.121,1540.673,-4.658,5797.914
1975 May,526.079,1026.718,260.027,698.942,1547.577,2224.513,1543.321,1546.181,1619.351,-4.687,5491.667
1975 June,368.304,923.084,204.983,686.334,1612.573,2296.922,1527.739,1530.571,1723.312,-1.285,5435.627
1975 July,318.568,980.968,186.913,713.32,1723.033,2411.464,1557.676,1560.68,1880.241,2.676,5669.107
1975 August,303.802,989.911,188.711,714.427,1775.06,2474.895,1557.841,1560.806,1914.625,4.279,5744.318
1975 September,341.999,910.485,206.459,655.116,1818.89,2437.821,1491.082,1493.793,1638.784,1.179,5498.393
1975 October,443.56,941.869,247.362,689.988,2015.62,2705.585,1568.14,1571.028,1633.788,0.234,5908.704
1975 November,582.293,1069.879,306.117,737.704,1912.422,2595.901,1442.08,1445.087,1605.659,1.841,5850.411
1975 December,1006.009,1615.313,500.577,963.329,2037.122,2742.999,1596.979,1600.088,1781.043,4.962,6926.691
1976 January,1303.69,2013.137,637.624,1120.528,1952.491,2639.763,1530.972,1534.133,1882.783,4.764,7312.324
1976 February,1100.921,1687.801,547.418,972.481,1674.43,2310.618,1418.877,1421.545,1650.798,1.008,6393.452
1976 March,895.893,1448.084,444.843,892.515,1725.483,2444.372,1604.907,1607.86,1721.705,-1.198,6391.633
1976 April,674.091,1164.986,338.629,754.135,1668.046,2353.64,1582.55,1585.108,1594.553,-2.549,5855.319
1976 May,522.575,1002.273,275.27,715.622,1786.425,2511.468,1565.236,1567.932,1647.787,-3.972,5793.322
1976 June,403.688,947.705,225.495,723.051,1758.399,2540.877,1611.321,1614.111,1826.842,-1.201,5824.544
1976 July,333.04,988.055,195.51,743.995,1869.786,2639.456,1649.041,1652.05,1976.18,1.125,6024.682
1976 August,305.673,981.429,199.457,734.199,1881.599,2642.924,1606.829,1609.723,1974.717,2.451,5970.726
1976 September,336.311,906.46,208.28,683.576,1872.183,2567.283,1579.969,1582.722,1743.297,-0.522,5739.519
1976 October,484.198,1000.607,267.2,732.121,2160.842,2909.584,1599.466,1602.214,1732.819,0.073,6244.598
1976 November,827.672,1382.482,433.989,898.031,2086.874,2845.049,1598.778,1601.682,1779.932,2.68,6729.925
1976 December,1204.077,1885.262,597.931,1094.217,2191.377,2952.28,1718.789,1721.765,1941.35,4.956,7658.479
1977 January,1488.04,2280.626,700.204,1227.477,2000.874,2755.11,1580.641,1583.92,2077.373,5.318,7852.451
1977 February,1244.153,1884.389,586.869,1019.268,1585.719,2221.88,1525.826,1528.416,1711.388,0.909,6654.863
1977 March,869.111,1453.045,421.332,880.793,1847.703,2583.711,1656.761,1659.808,1782.45,-3.496,6573.861
1977 April,630.341,1130.683,321.713,752.817,1736.779,2459.685,1638.726,1641.361,1656.988,-5.242,5979.305
1977 May,462.08,967.509,253.158,733.958,1872.16,2678.753,1618.43,1621.371,1795.764,-4.135,5997.456
1977 June,365.119,952.115,220.028,739.917,1907.841,2716.92,1675.661,1678.587,1918.889,-1.649,6085.89
1977 July,318.04,1065.61,202.907,783.855,1874.018,2673.819,1667.019,1670.151,2131.452,2.35,6195.785
1977 August,311.161,1045.62,205.02,769.921,1974.493,2764.415,1713.623,1716.585,2092.245,4.082,6300.623
1977 September,330.422,957.999,209.442,720.296,2016.477,2751.132,1645.199,1648.008,1875.895,2.788,6080.223
1977 October,470.296,1012.345,266.034,736.061,2107.344,2854.379,1666.977,1669.845,1761.98,-0.212,6272.418
1977 November,647.249,1177.765,342.389,809.454,2072.347,2846.113,1646.948,1649.941,1774.34,2.022,6485.295
1977 December,1058.283,1730.504,529.231,1035.735,2127.713,2917.656,1750.471,1753.67,1971.866,4.684,7442.248
1978 January,1232.305,2027.305,594.992,1132.932,2108.872,2903.595,1647.08,1650.27,2130.852,7.383,7721.485
1978 February,1236.943,1951.199,601.511,1084.121,1751.218,2430.987,1575.349,1578.138,1879.423,7.935,7052.381
1978 March,1038.126,1712.875,525.259,1009.785,1757.718,2471.404,1762.218,1765,1875.744,6.438,6965.503
1978 April,675.086,1210.914,337.763,777.346,1788.792,2511.101,1669.581,1672.014,1700.153,-1.444,6169.931
1978 May,532.405,1071.934,281.076,765.006,1887.109,2718.136,1785.037,1787.788,1857.237,-4.87,6337.994
1978 June,375.832,990.484,220.432,762.361,1813.446,2655.46,1742.294,1745.126,2001.427,-3.526,6149.904
1978 July,325.162,1072.906,197.635,792.317,1928.49,2752.005,1722.111,1725.205,2169.036,-2.243,6340.19
1978 August,337.852,1101.275,210.276,805.122,1944.951,2786.637,1800.235,1803.183,2202.903,-0.136,6496.081
1978 September,346.006,1016.781,212.651,745.857,1899.825,2669.511,1654.523,1657.319,1976.464,-1.917,6087.552
1978 October,470.243,1039.957,270.211,761.962,2095.778,2890.12,1734.818,1737.503,1858.491,-4.305,6425.237
1978 November,673.031,1225.672,348.566,839.524,2081.597,2897.358,1722.261,1725.239,1862.337,-2.324,6685.469
1978 December,1017.61,1707.223,508.741,1036.106,2141.142,2960.186,1767.324,1770.348,2039.047,0.627,7474.491
1979 January,1264.667,2108.841,654.397,1219.879,2195.377,3020.059,1735.484,1738.796,2237.651,4.63,8092.205
1979 February,1261.839,2007.392,647.859,1151.074,1833.442,2576.688,1668.787,1671.542,1994.768,3.509,7410.205
1979 March,949.668,1615.631,503.577,996.558,1921.047,2704.553,1833.141,1835.887,1945.198,-2.209,7150.421
1979 April,685.282,1242.639,370.265,829.989,1786.702,2565.148,1650.84,1653.371,1798.06,-3.728,6287.42
1979 May,484.65,1023.883,272.45,765.28,1972.612,2819.23,1738.872,1741.564,1881.371,-3.312,6346.644
1979 June,359.452,946.094,214.951,749.481,1919.676,2771.051,1675.01,1677.746,1975.284,-1.303,6143.07
1979 July,314.195,1024.767,191.262,779.383,1948.712,2809.363,1659.318,1662.259,2162.284,0.764,6276.536
1979 August,311.417,1072.946,195.268,786.174,2040.217,2885.739,1743.763,1746.79,2200.984,1.346,6492.996
1979 September,318.485,961.867,201.5,725.903,1970.157,2735.431,1629.215,1632.025,1935.87,-2.318,6052.908
1979 October,437.786,1009.412,262.234,778.625,2193.009,3018.285,1735.304,1738.186,1916.175,-1.287,6543.22
1979 November,631.953,1209.48,360.091,856.22,2153.847,2966.065,1642.866,1645.777,1888.785,1.5,6679.042
1979 December,899.959,1588.171,492.113,1010.851,2210.134,3007.013,1724.684,1727.623,2006.768,3.973,7337.632
1980 January,1063.204,1838.468,562.333,1103.033,2146.786,2941.961,1679.475,1682.912,2114.576,-1.359,7565.016
1980 February,1075.443,1793.352,557.517,1063.032,1876.835,2639.19,1625.748,1628.77,1988.801,-1.199,7123.145
1980 March,926.399,1615.14,481.451,988.352,1945.219,2731.743,1687.549,1690.569,1985.185,-3.897,7021.907
1980 April,640.924,1212.227,338.642,800.087,1726.173,2475.87,1675.176,1677.892,1785.161,-7.623,6158.453
1980 May,460.466,1008.788,249.923,749.801,1792.601,2599.324,1653.262,1656.328,1857.988,-6.87,6007.37
1980 June,356.143,993.775,208.376,764.84,1709.852,2524.036,1587.486,1590.565,2011.359,-0.753,5872.463
