U.S. Energy Information Administration,,,,,,,,,,,,,
February 2020 Monthly Energy Review,,,,,,,,,,,,,
,,,,,,,,,,,,,
0,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Release Date: February 25, 2020",,,,,,,,,,,,,
"Next Update: March 26, 2020",,,,,,,,,,,,,
,,,,,,,,,,,,,
Table 7.2b Electricity Net Generation: Electric Power Sector,,,,,,,,,,,,,
,,,,,,,,,,,,,
Month,"Electricity Net Generation From Coal, Electric Power Sector","Electricity Net Generation From Petroleum, Electric Power Sector","Electricity Net Generation From Natural Gas, Electric Power Sector","Electricity Net Generation From Other Gases, Electric Power Sector","Electricity Net Generation From Nuclear Electric Power, Electric Power Sector","Electricity Net Generation From Hydroelectric Pumped Storage, Electric Power Sector","Electricity Net Generation From Conventional Hydroelectric Power, Electric Power Sector","Electricity Net Generation From Wood, Electric Power Sector","Electricity Net Generation From Waste, Electric Power Sector","Electricity Net Generation From Geothermal, Electric Power Sector","Electricity Net Generation From Solar, Electric Power Sector","Electricity Net Generation From Wind, Electric Power Sector","Electricity Net Generation Total (including from sources not shown), Electric Power Sector"
,(Million Kilowatthours),(Million Kilowatthours),(Million Kilowatthours),(Million Kilowatthours),(Million Kilowatthours),(Million Kilowatthours),(Million Kilowatthours),(Million Kilowatthours),(Million Kilowatthours),(Million Kilowatthours),(Million Kilowatthours),(Million Kilowatthours),(Million Kilowatthours)
02/01/1976,73516.196,24782.98,19163.451,Not Available,14377.127,Not Available,24520.505,1.858,13.099,308.483,Not Available,Not Available,156683.698
03/01/1976,76553.69,25436.579,21282.392,Not Available,13992.977,Not Available,26562.676,2.54,13.176,330.3,Not Available,Not Available,164174.331
04/01/1976,72559.403,23310.448,21867.164,Not Available,10981.808,Not Available,24136.743,2.203,12.176,297.457,Not Available,Not Available,153167.401
05/01/1976,72499.188,21806.959,25318.846,Not Available,11929.39,Not Available,25516.08,2.403,12.95,284.292,Not Available,Not Available,157370.108
06/01/1976,76925.845,25116.695,29715.292,Not Available,15757.435,Not Available,25562.829,2.887,15.519,295.294,Not Available,Not Available,173391.795
07/01/1976,83279.641,27011.425,32031.884,Not Available,17708.727,Not Available,26063.839,0.955,18.353,319.188,Not Available,Not Available,186434.013
08/01/1976,84206.526,28262.962,31393.084,Not Available,18362.58,Not Available,23842.603,2.946,18.515,314.275,Not Available,Not Available,186403.492
09/01/1976,75369.701,23621.906,28057.948,Not Available,17290.311,Not Available,20368.071,5.491,15.879,305.847,Not Available,Not Available,165035.154
10/01/1976,76932.19,24189.65,23909.086,Not Available,17355.218,Not Available,21040.912,5.042,16.784,297.154,Not Available,Not Available,163746.035
11/01/1976,81668.738,30074.971,21110.511,Not Available,16134.204,Not Available,19803.803,25.731,16.437,250.369,Not Available,Not Available,169084.765
12/01/1976,87188.912,34142.807,20879.37,Not Available,21114.871,Not Available,20219.118,30.209,15.717,285.681,Not Available,Not Available,183876.685
01/01/1977,89829.161,43378.623,19952.66,Not Available,22152.064,Not Available,20700.335,35.268,14.005,309.738,Not Available,Not Available,196371.854
02/01/1977,78734.95,29446.474,19480.517,Not Available,19600.518,Not Available,15149.846,39.087,12.481,270.536,Not Available,Not Available,162734.411
03/01/1977,77492.179,28368.708,22467.119,Not Available,20672.203,Not Available,19800.768,35.02,13.95,306.644,Not Available,Not Available,169156.59
04/01/1977,70866.254,25862.144,21296.921,Not Available,19866.564,Not Available,18642.068,31.562,14.222,273.459,Not Available,Not Available,156853.193
05/01/1977,77049.033,27963.903,24701.328,Not Available,20599.284,Not Available,18676.935,31.192,14.84,295.233,Not Available,Not Available,169331.747
06/01/1977,83116.515,28970.658,29621.145,Not Available,21517.301,Not Available,17226.222,30.069,14.904,290.299,Not Available,Not Available,180787.113
07/01/1977,92372.785,34893.219,32712.543,Not Available,21824.835,Not Available,16798.743,3.421,17.073,307.065,Not Available,Not Available,198929.684
08/01/1977,90730.454,32326.169,33290.504,Not Available,22749.668,Not Available,16712.186,19.466,16.463,281.44,Not Available,Not Available,196126.351
09/01/1977,82564.552,26365.748,30937.59,Not Available,19629.992,Not Available,16424.737,24.439,16.492,301.267,Not Available,Not Available,176264.818
10/01/1977,79382.484,23073.922,27355.603,Not Available,19041.045,Not Available,17188.933,27.979,16.679,315.065,Not Available,Not Available,166401.711
11/01/1977,79467.834,24862.747,22565.612,Not Available,19458.412,Not Available,20397.541,19.617,10.76,316.511,Not Available,Not Available,167099.034
12/01/1977,83612.396,32666.506,21123.315,Not Available,23771.398,Not Available,22756.199,10.515,11.401,315.079,Not Available,Not Available,184266.809
01/01/1978,85005.951,39264.223,22309.743,Not Available,25832.949,Not Available,25065.93,23.622,11.907,321.005,Not Available,Not Available,197835.33
02/01/1978,70569.646,38212.55,20370.197,Not Available,21832.5,Not Available,22210.736,22.747,10.607,275.46,Not Available,Not Available,173504.443
03/01/1978,66623.494,36958.018,22269.092,Not Available,22448.665,Not Available,24630.089,25.683,10.618,227.657,Not Available,Not Available,173193.317
04/01/1978,70327.333,24978.413,21339.11,Not Available,17579.902,Not Available,25305.707,5.501,10.156,191.95,Not Available,Not Available,159738.072
05/01/1978,76431.711,24368.349,25076.268,Not Available,20416.17,Not Available,28756.952,4.506,11.268,171.002,Not Available,Not Available,175236.225
06/01/1978,84033.019,26129.595,30618.31,Not Available,22185.187,Not Available,25121.255,5.058,9.748,210.307,Not Available,Not Available,188312.48
07/01/1978,89606.31,29117.394,34247.75,Not Available,25007.094,Not Available,24452.766,6.308,8.43,235.597,Not Available,Not Available,202681.649
08/01/1978,93429.682,32302.004,32583.162,Not Available,25599.306,Not Available,22185.112,24.018,17.365,277.092,Not Available,Not Available,206417.74
09/01/1978,87041.271,26640.067,28206.109,Not Available,22188.917,Not Available,21177.215,12.896,12.938,292.585,Not Available,Not Available,185571.998
10/01/1978,82082.993,25753.492,25232.611,Not Available,22996.549,Not Available,19478.805,25.758,13.709,217.591,Not Available,Not Available,175801.507
11/01/1978,81727.362,27309.782,22000.457,Not Available,24900.669,Not Available,19952.512,24.228,11.542,245.785,Not Available,Not Available,176172.338
12/01/1978,88863.313,34026.554,21138.026,Not Available,25415.16,Not Available,22081.8,16.868,12.145,311.599,Not Available,Not Available,191865.466
01/01/1979,94985.712,39474.311,22092.806,Not Available,27792.163,Not Available,25021.457,12.201,14.205,299.38,Not Available,Not Available,209692.236
02/01/1979,84747.823,32274.117,21844.013,Not Available,25910.788,Not Available,21275.254,23.648,16.35,244.898,Not Available,Not Available,186336.89
03/01/1979,85219.537,22075.574,24916.06,Not Available,24334.822,Not Available,25920.777,30.272,23.239,328.623,Not Available,Not Available,182848.905
04/01/1979,80450.173,20599.379,24763.199,Not Available,18417.942,Not Available,25388.504,25.243,13.283,303.915,Not Available,Not Available,169961.638
05/01/1979,86149.298,21470.44,26135.375,Not Available,15024.851,Not Available,28939.195,22.626,21.34,305.604,Not Available,Not Available,178068.729
06/01/1979,90817.26,24367.27,30106.952,Not Available,16065.455,Not Available,24978.514,20.957,16.46,309.504,Not Available,Not Available,186682.371
07/01/1979,97879.473,25749.925,34675.501,Not Available,20824.729,Not Available,22760.636,20.175,15.9,328.236,Not Available,Not Available,202254.575
08/01/1979,97910.027,26122.976,34948.735,Not Available,24204.083,Not Available,21259.932,30.048,16.457,358.096,Not Available,Not Available,204850.354
09/01/1979,85664.344,22509.343,31441.588,Not Available,21803.87,Not Available,18978.246,31.004,12.094,310.775,Not Available,Not Available,180751.264
10/01/1979,87527.612,20278.861,30418.982,Not Available,20934.359,Not Available,20166.7,29.302,11.732,348.445,Not Available,Not Available,179715.992
11/01/1979,87455.783,23380.251,24661.307,Not Available,19255.175,Not Available,22366.537,31.079,17.576,338.536,Not Available,Not Available,177506.244
12/01/1979,96230.048,25222.763,23480.589,Not Available,20586.386,Not Available,22727.06,23.304,19.556,412.956,Not Available,Not Available,188702.664
01/01/1980,103257.677,24985.981,26348.819,Not Available,19745.966,Not Available,25278.087,30.867,20.829,336.471,Not Available,Not Available,200004.699
02/01/1980,98150.804,24780.801,24755.111,Not Available,19277.338,Not Available,21377.604,31.482,18.624,323.169,Not Available,Not Available,188714.933
03/01/1980,95386.178,20415.059,26891.062,Not Available,20038.872,Not Available,24332.151,29.39,12.461,359.122,Not Available,Not Available,187464.293
04/01/1980,83561.813,16024.88,24181.362,Not Available,18793.503,Not Available,25747.906,21.841,12.188,376.294,Not Available,Not Available,168719.787
05/01/1980,84884.262,16545.279,26586.804,Not Available,18384.807,Not Available,28864.874,9.782,14.817,443.088,Not Available,Not Available,175733.713
06/01/1980,93691.765,18019.504,31294.973,Not Available,18322.206,Not Available,27656.143,6.572,10.997,427.499,Not Available,Not Available,189429.659
07/01/1980,108456.913,23288.774,39063.083,Not Available,21023.937,Not Available,24468.827,15.032,10.197,449.596,Not Available,Not Available,216776.36
08/01/1980,107579.936,24884.835,37647.074,Not Available,24332.931,Not Available,20431.309,24.25,12.567,480.427,Not Available,Not Available,215393.328
09/01/1980,97556.952,17815.305,33579.978,Not Available,23572.294,Not Available,18491.19,23.997,11.046,433.806,Not Available,Not Available,191484.569
10/01/1980,91196.02,15858.229,28591.879,Not Available,24509.631,Not Available,17865.85,29.809,11.031,492.623,Not Available,Not Available,178555.072
11/01/1980,93500.667,19989.308,24338.395,Not Available,20983.909,Not Available,19217.106,27.882,11.012,481.542,Not Available,Not Available,178549.821
12/01/1980,104339.38,23386.234,22961.361,Not Available,22130.182,Not Available,22289.922,24.462,12.026,469.442,Not Available,Not Available,195613.009
01/01/1981,111764.813,25963.088,22080.996,Not Available,23778.769,Not Available,22338.49,24.316,10.563,505.539,Not Available,Not Available,206466.574
02/01/1981,97653.289,17443.999,21339.106,Not Available,21595.261,Not Available,21098.942,27.208,8.81,446.85,Not Available,Not Available,179613.464
03/01/1981,99482.128,16956.746,25996.919,Not Available,22004.399,Not Available,20572.453,29.436,10.261,501.033,Not Available,Not Available,185553.375
04/01/1981,88109.349,15106.252,27460.284,Not Available,20646.019,Not Available,20722.677,27.823,9.454,462.686,Not Available,Not Available,172544.544
05/01/1981,88940.698,14507.881,30070.319,Not Available,19723.09,Not Available,24081.252,14.228,9.978,458.335,Not Available,Not Available,177805.78
06/01/1981,99837.068,18971.565,35885.106,Not Available,21165.626,Not Available,26369.752,6.86,8.486,457.46,Not Available,Not Available,202701.924
07/01/1981,112853.683,20071.683,38712.255,Not Available,23079.647,Not Available,25132.882,9.957,10.344,502.803,Not Available,Not Available,220373.254
08/01/1981,108402.855,16001.049,36917.716,Not Available,26946.387,Not Available,21614.967,10.736,13.02,496.632,Not Available,Not Available,210403.361
09/01/1981,97663.878,15565.877,30850.324,Not Available,24398.455,Not Available,17821.506,23.321,15.24,499.717,Not Available,Not Available,186838.318
10/01/1981,97046.239,16213.139,28916.564,Not Available,20555.822,Not Available,18088.439,25.808,12.621,492.996,Not Available,Not Available,181351.628
11/01/1981,94841.001,13847.211,24670.378,Not Available,22783.424,Not Available,18963.435,25.044,9.378,430.344,Not Available,Not Available,175570.213
12/01/1981,106608.232,15772.285,22877.206,Not Available,25996.603,Not Available,23878.75,20.464,4.474,431.768,Not Available,Not Available,195589.781
01/01/1982,113123.631,20673.949,22620.535,Not Available,25677.834,Not Available,26895.536,18.831,12.217,380.21,Not Available,Not Available,209402.742
02/01/1982,96905.528,15216.865,20919.528,Not Available,20187.619,Not Available,26689.988,19.505,10.388,349.706,Not Available,Not Available,180299.127
03/01/1982,97625.094,13494.516,23597.611,Not Available,22755.478,Not Available,29884.687,11.849,10.215,308.008,Not Available,Not Available,187687.458
04/01/1982,88115.664,11192.216,23231.222,Not Available,21784.661,Not Available,27927.889,9.816,7.661,310.575,Not Available,Not Available,172579.704
05/01/1982,92997.402,9867.698,24291.498,Not Available,21638.768,Not Available,27970.899,8.875,11.157,360.911,Not Available,Not Available,177147.208
06/01/1982,95313.637,10419.113,27959.064,Not Available,24026.011,Not Available,27952.8,11.244,10.598,435.826,Not Available,Not Available,186128.292
07/01/1982,110617.225,13380.25,33340.356,Not Available,25467.06,Not Available,27293.876,13.15,13.278,458.391,Not Available,Not Available,210583.586
08/01/1982,110124.075,11753.038,34418.117,Not Available,24986.071,Not Available,23894.37,14.372,8.747,456.832,Not Available,Not Available,205655.622
09/01/1982,96895.697,10363.144,27649.118,Not Available,25390.532,Not Available,19895.827,21.737,7.799,438.243,Not Available,Not Available,180662.097
10/01/1982,93769.09,9885.352,25804.497,Not Available,23247.7,Not Available,19750.369,30.99,11.775,466.512,Not Available,Not Available,172966.286
11/01/1982,95547.275,9312.965,21465.602,Not Available,23235.022,Not Available,23296.787,20.135,9.463,489.97,Not Available,Not Available,173377.219
12/01/1982,100969.888,11238.383,19962.6,Not Available,24376.491,Not Available,27759.865,15.435,11.681,387.681,Not Available,Not Available,184722.025
01/01/1983,108164.265,12879.838,19721.254,Not Available,25073.059,Not Available,29234.549,13.293,9.254,483.529,Not Available,0.172,195579.213
02/01/1983,92691.602,12585.943,16658.895,Not Available,22197.767,Not Available,27949.891,12.152,10.536,371.94,Not Available,0.018,172478.744
03/01/1983,95598.248,12556.444,19686.264,Not Available,23890.193,Not Available,30302.178,14.433,11.446,428.696,Not Available,0.313,182488.215
04/01/1983,88113.755,10336.746,19173.85,Not Available,22334.793,Not Available,29988.66,11.618,10.612,401.83,Not Available,0.214,170372.078
05/01/1983,91296.386,9050.351,20444.768,Not Available,22050.937,Not Available,31193.505,10.56,18.831,326.45,Not Available,0.251,174392.04
06/01/1983,101512.015,11138.627,23091.183,Not Available,24151.858,Not Available,30692.332,13.661,19.028,429.464,Not Available,0.212,191048.379
07/01/1983,121560.33,14709.748,29615.086,Not Available,25602.084,Not Available,28113.434,13.99,15.732,534.843,Not Available,0.097,220165.343
08/01/1983,129312.743,14730.919,33147.159,Not Available,26201.317,Not Available,25827.564,18.181,15.72,703.792,Not Available,0.01,229957.406
09/01/1983,108867.586,11298.792,28040.45,Not Available,25007.372,Not Available,21711.698,19.309,15.275,642.982,Not Available,0.378,195603.843
10/01/1983,101951.282,9941.041,23782.891,Not Available,25796.805,Not Available,20746.779,23.245,14.16,674.082,Not Available,0.464,182930.749
11/01/1983,103225.255,9229.464,20169.388,Not Available,25010.113,Not Available,24677.685,26.657,10.282,599.874,Not Available,0.423,182949.141
12/01/1983,117130.811,16040.679,20567.27,Not Available,26360.821,Not Available,31691.461,38.767,11.87,477.619,Not Available,0.117,212319.415
01/01/1984,120850.261,15938.933,20245.336,Not Available,29313.313,Not Available,29737.483,45.15,13.697,487.953,-0.069,0.041,216632.098
02/01/1984,104706.39,10052.549,17826.724,Not Available,28435.519,Not Available,27899.634,23.417,23.078,596.024,0.061,0.199,189563.597
03/01/1984,111157.719,10806.168,19644.833,Not Available,27344.704,Not Available,30434.977,28.649,34.591,654.973,0.17,0.184,200106.968
04/01/1984,97541.501,7449.51,21197.053,Not Available,24231.118,Not Available,29969.929,14.401,33.607,646.337,0.323,0.562,181084.341
05/01/1984,100138.89,8421.629,25303.732,Not Available,25866.506,Not Available,31813.517,15.569,36.125,619.995,0.703,0.758,192217.425
06/01/1984,115425.514,11151.74,28345.033,Not Available,25299.389,Not Available,28773.014,15.275,35.155,601.822,0.945,0.599,209648.487
07/01/1984,121094.329,10396.601,33326.633,Not Available,28284.305,Not Available,27494.516,36.274,36.829,574.462,0.253,0.468,221244.669
08/01/1984,127743.902,12835.775,33291.869,Not Available,29493.032,Not Available,25136.934,38.495,35.205,719.249,0.883,0.266,229295.612
09/01/1984,108861.54,7713.431,27838.782,Not Available,29145.7,Not Available,20910.98,43.654,34.823,647.833,0.976,0.499,195198.217
10/01/1984,110800.527,7874.495,25782.724,Not Available,24773.645,Not Available,20886.515,53.737,52.117,711.156,0.683,0.87,190936.468
11/01/1984,109759.28,9232.298,23727.895,Not Available,24574.563,Not Available,22259.171,76.675,47.012,702.248,0.337,0.847,190380.325
12/01/1984,113600.9,7934.784,20862.981,Not Available,30871.754,Not Available,25833.574,70.113,42.301,778.452,-0.016,1.197,199996.04
01/01/1985,129092.471,12077.118,22050.835,Not Available,36186.298,Not Available,27543.423,82.597,48.412,774.003,0.465,0.635,227856.257
02/01/1985,112036.83,9270.117,19417.44,Not Available,30812.422,Not Available,25902.171,74.844,43.696,683.523,-0.085,1.093,198242.051
03/01/1985,111390.703,7120.015,19848.321,Not Available,31041.225,Not Available,24639.943,80.633,52.38,795.867,0.104,0.69,194969.881
04/01/1985,104790.423,6017.18,22425.012,Not Available,26458.274,Not Available,24402.974,25.963,57.977,696.907,1.222,0.581,184876.514
05/01/1985,111514.668,6859.495,22481.467,Not Available,28697.365,Not Available,26421.137,31.256,58.191,724.684,1.471,0.337,196790.07
06/01/1985,115583.004,7576.498,26739.747,Not Available,30836.969,Not Available,23838.656,26.683,61.497,698.184,1.568,0.337,205363.144
07/01/1985,128880.144,8289.434,32190.85,Not Available,35184.214,Not Available,21292.823,53.538,62.516,767.624,1.055,0.071,226722.269
08/01/1985,126549.659,9858.348,33915.168,Not Available,34812.142,Not Available,19980.82,71.265,58.384,802.236,2.007,0.363,226050.393
09/01/1985,114630.253,7434.642,26272.697,Not Available,34507.709,Not Available,18767.239,77.939,44.056,762.515,1.369,0.832,202499.251
10/01/1985,111053.345,7514.42,24119.576,Not Available,31205.154,Not Available,20047.636,72.286,45.375,729.992,0.947,0.524,194789.255
11/01/1985,108814.643,7008.016,22453.425,Not Available,30166.489,Not Available,22954.019,73.695,55.303,901.352,0.276,0.194,192427.412
12/01/1985,127791.979,11176.988,20031.428,Not Available,33782.468,Not Available,25358.576,72.595,51.791,988.343,0.231,0.105,219254.505
01/01/1986,130189.924,11088.338,17472.41,Not Available,36218.874,Not Available,21377.147,64.133,50.205,1007.682,0.638,0.155,217469.505
02/01/1986,110982.428,9529.298,14924.854,Not Available,32721.017,Not Available,23222.056,36.611,53.139,865.407,0.592,0.169,192335.57
03/01/1986,110389.796,10072.925,16149.202,Not Available,30773.127,Not Available,28465.433,20.004,61.743,900.114,1.014,0.69,196834.048
04/01/1986,98995.106,9226.796,18961.06,Not Available,30476.66,Not Available,27523.345,19.908,57.126,811.665,1.377,0.613,186073.656
05/01/1986,104900.302,10435.353,21947.302,Not Available,31924.086,Not Available,27204.623,24.295,56.019,820.177,1.828,0.74,197314.725
06/01/1986,120153.987,11563.482,24767.149,Not Available,31333.867,Not Available,26223.37,26.723,54.981,889.86,1.409,0.502,215015.329
07/01/1986,136653.936,16296.267,28711.652,Not Available,35893.532,Not Available,24071.961,40.96,57.454,944.107,1.669,0.522,242672.059
08/01/1986,123617.62,15465.909,26352.173,Not Available,37483.147,Not Available,21189.37,56.503,57.707,941.909,1.629,0.46,225166.427
09/01/1986,113957.353,10676.506,23456.719,Not Available,36592.616,Not Available,21113.549,51.188,53.156,789.335,1.438,0.069,206691.93
10/01/1986,108583.774,9872.701,20876.382,Not Available,36213.556,Not Available,21335.096,38.668,56.205,775.916,1.289,0.227,197753.814
11/01/1986,109045.451,10463.699,18044.042,Not Available,34944.105,Not Available,23153.423,46.194,62.783,671.542,0.895,0.012,196432.146
12/01/1986,118361.775,11893.594,16845.488,Not Available,39463.476,Not Available,25964.725,66.323,64.715,890.243,0.254,0.03,213550.624
01/01/1987,126630.512,11926.743,17788.153,Not Available,39974.825,Not Available,25412.297,64.23,58.189,894.259,0.062,0.075,222749.344
02/01/1987,109647.934,10501.85,15119.732,Not Available,36598.257,Not Available,21226.011,57.114,53.476,829.269,0.532,0.004,194034.179
03/01/1987,111920.394,10007.168,18349.449,Not Available,37290.006,Not Available,23247.942,58.599,65.749,909.237,0.902,-0.009,201849.437
04/01/1987,105474.356,7911.58,19601.569,Not Available,33517.74,Not Available,22025.217,45.401,61.34,856.992,1.278,0.146,189495.619
05/01/1987,115155.284,8145.79,23238.723,Not Available,34320.408,Not Available,24201.911,46.379,63.545,900.486,1.251,0.328,206074.105
06/01/1987,129350.599,10654.604,27090.362,Not Available,36560.089,Not Available,20862.595,78.229,65.213,924.767,1.665,0.965,225589.088
07/01/1987,143502.911,12547.339,30511.554,Not Available,40055.583,Not Available,20194.515,79.441,64.291,956.08,1.785,1.226,247914.728
08/01/1987,143194.312,11288.95,32261.639,Not Available,41352.353,Not Available,18446.335,82.344,64.953,952.397,1.19,0.232,247644.706
09/01/1987,120777.103,7696.435,25677.538,Not Available,39665.826,Not Available,18179.678,70.933,51.074,888.492,0.774,0.226,213008.078
10/01/1987,117742.848,6819.448,22985.178,Not Available,36491.544,Not Available,17954.602,58.104,56.823,899.778,0.576,0.062,203008.962
11/01/1987,114171.65,9803.399,21005.294,Not Available,37437.67,Not Available,16857.141,65.425,46.893,869.989,0.322,0.063,200257.846
12/01/1987,126213.387,11189.264,18991.611,Not Available,42006.081,Not Available,21086.729,76.889,42.394,893.714,0.159,0.224,220500.454
01/01/1988,137845.293,16090.408,16237.245,Not Available,44658.45,Not Available,22032.781,91.493,38.041,901.993,0.458,0.642,237896.803
02/01/1988,126267.376,11889.894,16530.273,Not Available,42246.023,Not Available,19105.436,82.293,38.403,776.173,0.767,-0.001,216936.638
03/01/1988,120033.644,9768.817,19743.729,Not Available,43912.016,Not Available,19514.061,89.832,44.923,904.768,1.288,0.03,214013.108
